Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744807968,2025-04-16 09:52:48,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744807968,2025-04-16 09:52:48,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744807968,2025-04-16 09:52:48,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744807968,2025-04-16 09:52:48,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744807968,2025-04-16 09:52:48,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744807968,2025-04-16 09:52:48,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744807968,2025-04-16 09:52:48,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744807968,2025-04-16 09:52:48,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744808723,2025-04-16 10:05:23,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744808723,2025-04-16 10:05:23,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744808723,2025-04-16 10:05:23,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744808723,2025-04-16 10:05:23,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744808723,2025-04-16 10:05:23,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744808723,2025-04-16 10:05:23,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744808723,2025-04-16 10:05:23,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744808723,2025-04-16 10:05:23,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744810135,2025-04-16 10:28:55,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744810135,2025-04-16 10:28:55,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744810135,2025-04-16 10:28:55,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744810135,2025-04-16 10:28:55,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744810135,2025-04-16 10:28:55,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744810135,2025-04-16 10:28:55,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744810135,2025-04-16 10:28:55,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744810135,2025-04-16 10:28:55,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744811267,2025-04-16 10:47:47,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744811267,2025-04-16 10:47:47,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744811267,2025-04-16 10:47:47,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744811267,2025-04-16 10:47:47,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,No-IP,No-Hostname
1744811267,2025-04-16 10:47:47,5,No-IP,No-Hostname,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744811267,2025-04-16 10:47:47,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744811267,2025-04-16 10:47:47,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744811267,2025-04-16 10:47:47,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744812325,2025-04-16 11:05:25,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744812325,2025-04-16 11:05:25,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744812325,2025-04-16 11:05:25,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744812325,2025-04-16 11:05:25,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744812325,2025-04-16 11:05:25,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744812325,2025-04-16 11:05:25,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744812325,2025-04-16 11:05:25,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744812325,2025-04-16 11:05:25,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744815547,2025-04-16 11:59:07,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744815547,2025-04-16 11:59:07,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744815547,2025-04-16 11:59:07,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744815547,2025-04-16 11:59:07,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744815547,2025-04-16 11:59:07,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744815547,2025-04-16 11:59:07,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744815547,2025-04-16 11:59:07,7,170.79.214.219,bac1-mxac.bkb.rnp.br,No-IP,No-Hostname
1744815547,2025-04-16 11:59:07,8,No-IP,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744816288,2025-04-16 12:11:28,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744816288,2025-04-16 12:11:28,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744816288,2025-04-16 12:11:28,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744816288,2025-04-16 12:11:28,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744816288,2025-04-16 12:11:28,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744816288,2025-04-16 12:11:28,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744816288,2025-04-16 12:11:28,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744816288,2025-04-16 12:11:28,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744816502,2025-04-16 12:15:02,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744816502,2025-04-16 12:15:02,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744816502,2025-04-16 12:15:02,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744816502,2025-04-16 12:15:02,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744816502,2025-04-16 12:15:02,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744816502,2025-04-16 12:15:02,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744816502,2025-04-16 12:15:02,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744816502,2025-04-16 12:15:02,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744817070,2025-04-16 12:24:30,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744817070,2025-04-16 12:24:30,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744817070,2025-04-16 12:24:30,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744817070,2025-04-16 12:24:30,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744817070,2025-04-16 12:24:30,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744817070,2025-04-16 12:24:30,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744817070,2025-04-16 12:24:30,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744817070,2025-04-16 12:24:30,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744817786,2025-04-16 12:36:26,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744817786,2025-04-16 12:36:26,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744817786,2025-04-16 12:36:26,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744817786,2025-04-16 12:36:26,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744817786,2025-04-16 12:36:26,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744817786,2025-04-16 12:36:26,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744817786,2025-04-16 12:36:26,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744817786,2025-04-16 12:36:26,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744818289,2025-04-16 12:44:49,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744818289,2025-04-16 12:44:49,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744818289,2025-04-16 12:44:49,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744818289,2025-04-16 12:44:49,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744818289,2025-04-16 12:44:49,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744818289,2025-04-16 12:44:49,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744818289,2025-04-16 12:44:49,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744818289,2025-04-16 12:44:49,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744818944,2025-04-16 12:55:44,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744818944,2025-04-16 12:55:44,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744818944,2025-04-16 12:55:44,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744818944,2025-04-16 12:55:44,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744818944,2025-04-16 12:55:44,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744818944,2025-04-16 12:55:44,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744818944,2025-04-16 12:55:44,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744818944,2025-04-16 12:55:44,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744819568,2025-04-16 13:06:08,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744819568,2025-04-16 13:06:08,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744819568,2025-04-16 13:06:08,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744819568,2025-04-16 13:06:08,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744819568,2025-04-16 13:06:08,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744819568,2025-04-16 13:06:08,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744819568,2025-04-16 13:06:08,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744819568,2025-04-16 13:06:08,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744820314,2025-04-16 13:18:34,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744820314,2025-04-16 13:18:34,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744820314,2025-04-16 13:18:34,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744820314,2025-04-16 13:18:34,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744820314,2025-04-16 13:18:34,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744820314,2025-04-16 13:18:34,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744820314,2025-04-16 13:18:34,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744820314,2025-04-16 13:18:34,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744820849,2025-04-16 13:27:29,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744820849,2025-04-16 13:27:29,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744820849,2025-04-16 13:27:29,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744820849,2025-04-16 13:27:29,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744820849,2025-04-16 13:27:29,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744820849,2025-04-16 13:27:29,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744820849,2025-04-16 13:27:29,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744820849,2025-04-16 13:27:29,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744821280,2025-04-16 13:34:40,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744821280,2025-04-16 13:34:40,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744821280,2025-04-16 13:34:40,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744821280,2025-04-16 13:34:40,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744821280,2025-04-16 13:34:40,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744821280,2025-04-16 13:34:40,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744821280,2025-04-16 13:34:40,7,170.79.214.219,bac1-mxac.bkb.rnp.br,No-IP,No-Hostname
1744821280,2025-04-16 13:34:40,8,No-IP,No-Hostname,No-IP,No-Hostname
1744821280,2025-04-16 13:34:40,9,No-IP,No-Hostname,No-IP,No-Hostname
1744821280,2025-04-16 13:34:40,10,No-IP,No-Hostname,No-IP,No-Hostname
1744821280,2025-04-16 13:34:40,11,No-IP,No-Hostname,No-IP,No-Hostname
1744821280,2025-04-16 13:34:40,12,No-IP,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744822119,2025-04-16 13:48:39,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744822119,2025-04-16 13:48:39,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744822119,2025-04-16 13:48:39,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744822119,2025-04-16 13:48:39,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744822119,2025-04-16 13:48:39,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744822119,2025-04-16 13:48:39,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744822119,2025-04-16 13:48:39,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744822119,2025-04-16 13:48:39,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744822883,2025-04-16 14:01:23,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744822883,2025-04-16 14:01:23,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744822883,2025-04-16 14:01:23,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744822883,2025-04-16 14:01:23,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744822883,2025-04-16 14:01:23,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744822883,2025-04-16 14:01:23,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744822883,2025-04-16 14:01:23,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744822883,2025-04-16 14:01:23,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744823005,2025-04-16 14:03:25,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744823005,2025-04-16 14:03:25,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744823005,2025-04-16 14:03:25,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744823005,2025-04-16 14:03:25,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744823005,2025-04-16 14:03:25,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744823005,2025-04-16 14:03:25,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744823005,2025-04-16 14:03:25,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744823005,2025-04-16 14:03:25,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744824017,2025-04-16 14:20:17,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744824017,2025-04-16 14:20:17,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744824017,2025-04-16 14:20:17,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744824017,2025-04-16 14:20:17,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744824017,2025-04-16 14:20:17,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744824017,2025-04-16 14:20:17,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744824017,2025-04-16 14:20:17,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744824017,2025-04-16 14:20:17,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744824259,2025-04-16 14:24:19,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744824259,2025-04-16 14:24:19,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744824259,2025-04-16 14:24:19,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744824259,2025-04-16 14:24:19,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744824259,2025-04-16 14:24:19,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744824259,2025-04-16 14:24:19,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744824259,2025-04-16 14:24:19,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744824259,2025-04-16 14:24:19,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744825232,2025-04-16 14:40:32,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744825232,2025-04-16 14:40:32,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744825232,2025-04-16 14:40:32,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744825232,2025-04-16 14:40:32,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744825232,2025-04-16 14:40:32,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744825232,2025-04-16 14:40:32,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744825232,2025-04-16 14:40:32,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744825232,2025-04-16 14:40:32,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744825501,2025-04-16 14:45:01,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744825501,2025-04-16 14:45:01,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744825501,2025-04-16 14:45:01,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744825501,2025-04-16 14:45:01,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744825501,2025-04-16 14:45:01,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744825501,2025-04-16 14:45:01,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744825501,2025-04-16 14:45:01,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744825501,2025-04-16 14:45:01,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744826256,2025-04-16 14:57:36,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744826256,2025-04-16 14:57:36,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744826256,2025-04-16 14:57:36,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744826256,2025-04-16 14:57:36,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744826256,2025-04-16 14:57:36,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744826256,2025-04-16 14:57:36,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744826256,2025-04-16 14:57:36,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744826256,2025-04-16 14:57:36,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744826720,2025-04-16 15:05:20,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744826720,2025-04-16 15:05:20,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744826720,2025-04-16 15:05:20,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744826720,2025-04-16 15:05:20,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744826720,2025-04-16 15:05:20,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744826720,2025-04-16 15:05:20,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744826720,2025-04-16 15:05:20,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744826720,2025-04-16 15:05:20,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744827547,2025-04-16 15:19:07,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744827547,2025-04-16 15:19:07,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744827547,2025-04-16 15:19:07,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744827547,2025-04-16 15:19:07,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744827547,2025-04-16 15:19:07,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744827547,2025-04-16 15:19:07,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744827547,2025-04-16 15:19:07,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
1744827547,2025-04-16 15:19:07,8,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1744827966,2025-04-16 15:26:06,1,No-IP,No-Hostname,200.129.240.2,No-Hostname
1744827966,2025-04-16 15:26:06,2,200.129.240.2,No-Hostname,200.129.240.248,No-Hostname
1744827966,2025-04-16 15:26:06,3,200.129.240.248,No-Hostname,170.79.214.74,cmt1-bmt1.bkb.rnp.br
1744827966,2025-04-16 15:26:06,4,170.79.214.74,cmt1-bmt1.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1744827966,2025-04-16 15:26:06,5,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1744827966,2025-04-16 15:26:06,6,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1744827966,2025-04-16 15:26:06,7,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.21,No-Hostname
