Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1744807669,2025-04-16 09:47:49,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744807669,2025-04-16 09:47:49,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744807669,2025-04-16 09:47:49,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744807669,2025-04-16 09:47:49,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744807669,2025-04-16 09:47:49,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744807669,2025-04-16 09:47:49,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744807669,2025-04-16 09:47:49,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744807669,2025-04-16 09:47:49,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744808538,2025-04-16 10:02:18,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744808538,2025-04-16 10:02:18,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744808538,2025-04-16 10:02:18,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744808538,2025-04-16 10:02:18,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744808538,2025-04-16 10:02:18,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744808538,2025-04-16 10:02:18,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744808538,2025-04-16 10:02:18,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744808538,2025-04-16 10:02:18,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744809495,2025-04-16 10:18:15,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744809495,2025-04-16 10:18:15,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744809495,2025-04-16 10:18:15,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744809495,2025-04-16 10:18:15,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744809495,2025-04-16 10:18:15,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744809495,2025-04-16 10:18:15,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744809495,2025-04-16 10:18:15,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744809495,2025-04-16 10:18:15,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744811122,2025-04-16 10:45:22,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744811122,2025-04-16 10:45:22,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744811122,2025-04-16 10:45:22,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744811122,2025-04-16 10:45:22,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744811122,2025-04-16 10:45:22,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.123,csp2-csp1.bkb.rnp.br
1744811122,2025-04-16 10:45:22,6,170.79.213.123,csp2-csp1.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744811122,2025-04-16 10:45:22,7,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744811122,2025-04-16 10:45:22,8,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744811122,2025-04-16 10:45:22,9,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744811481,2025-04-16 10:51:21,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744811481,2025-04-16 10:51:21,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744811481,2025-04-16 10:51:21,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744811481,2025-04-16 10:51:21,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744811481,2025-04-16 10:51:21,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.213.123,csp2-csp1.bkb.rnp.br
1744811481,2025-04-16 10:51:21,6,170.79.213.123,csp2-csp1.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744811481,2025-04-16 10:51:21,7,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744811481,2025-04-16 10:51:21,8,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744811481,2025-04-16 10:51:21,9,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744812584,2025-04-16 11:09:44,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744812584,2025-04-16 11:09:44,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744812584,2025-04-16 11:09:44,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.213.229,csp2-crs2-100g-clara.bkb.rnp.br
1744812584,2025-04-16 11:09:44,4,170.79.213.229,csp2-crs2-100g-clara.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744812584,2025-04-16 11:09:44,5,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744812584,2025-04-16 11:09:44,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744812584,2025-04-16 11:09:44,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744813459,2025-04-16 11:24:19,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744813459,2025-04-16 11:24:19,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744813459,2025-04-16 11:24:19,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.213.229,csp2-crs2-100g-clara.bkb.rnp.br
1744813459,2025-04-16 11:24:19,4,170.79.213.229,csp2-crs2-100g-clara.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744813459,2025-04-16 11:24:19,5,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744813459,2025-04-16 11:24:19,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744813459,2025-04-16 11:24:19,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744813909,2025-04-16 11:31:49,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744813909,2025-04-16 11:31:49,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744813909,2025-04-16 11:31:49,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.213.229,csp2-crs2-100g-clara.bkb.rnp.br
1744813909,2025-04-16 11:31:49,4,170.79.213.229,csp2-crs2-100g-clara.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744813909,2025-04-16 11:31:49,5,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744813909,2025-04-16 11:31:49,6,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744813909,2025-04-16 11:31:49,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744814383,2025-04-16 11:39:43,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744814383,2025-04-16 11:39:43,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744814383,2025-04-16 11:39:43,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744814383,2025-04-16 11:39:43,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744814383,2025-04-16 11:39:43,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744814383,2025-04-16 11:39:43,6,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744814383,2025-04-16 11:39:43,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744815689,2025-04-16 12:01:29,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744815689,2025-04-16 12:01:29,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744815689,2025-04-16 12:01:29,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744815689,2025-04-16 12:01:29,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744815689,2025-04-16 12:01:29,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744815689,2025-04-16 12:01:29,6,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744815689,2025-04-16 12:01:29,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744816551,2025-04-16 12:15:51,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744816551,2025-04-16 12:15:51,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744816551,2025-04-16 12:15:51,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744816551,2025-04-16 12:15:51,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744816551,2025-04-16 12:15:51,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744816551,2025-04-16 12:15:51,6,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744816551,2025-04-16 12:15:51,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744817179,2025-04-16 12:26:19,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744817179,2025-04-16 12:26:19,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744817179,2025-04-16 12:26:19,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744817179,2025-04-16 12:26:19,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744817179,2025-04-16 12:26:19,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744817179,2025-04-16 12:26:19,6,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744817179,2025-04-16 12:26:19,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744817302,2025-04-16 12:28:22,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744817302,2025-04-16 12:28:22,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744817302,2025-04-16 12:28:22,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744817302,2025-04-16 12:28:22,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744817302,2025-04-16 12:28:22,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744817302,2025-04-16 12:28:22,6,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744817302,2025-04-16 12:28:22,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744818100,2025-04-16 12:41:40,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744818100,2025-04-16 12:41:40,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br
1744818100,2025-04-16 12:41:40,3,170.79.213.202,cpr2-crs1-brdigital.bkb.rnp.br,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br
1744818100,2025-04-16 12:41:40,4,170.79.213.236,cpr1-cpr2-100g.bkb.rnp.br,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br
1744818100,2025-04-16 12:41:40,5,170.79.213.207,csp1-cpr1-100g-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744818100,2025-04-16 12:41:40,6,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744818100,2025-04-16 12:41:40,7,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744818973,2025-04-16 12:56:13,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744818973,2025-04-16 12:56:13,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744818973,2025-04-16 12:56:13,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744818973,2025-04-16 12:56:13,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744818973,2025-04-16 12:56:13,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744818973,2025-04-16 12:56:13,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1744818973,2025-04-16 12:56:13,7,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744818973,2025-04-16 12:56:13,8,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744818973,2025-04-16 12:56:13,9,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744818973,2025-04-16 12:56:13,10,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744819413,2025-04-16 13:03:33,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744819413,2025-04-16 13:03:33,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744819413,2025-04-16 13:03:33,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744819413,2025-04-16 13:03:33,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744819413,2025-04-16 13:03:33,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744819413,2025-04-16 13:03:33,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1744819413,2025-04-16 13:03:33,7,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744819413,2025-04-16 13:03:33,8,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744819413,2025-04-16 13:03:33,9,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744819413,2025-04-16 13:03:33,10,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744820027,2025-04-16 13:13:47,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744820027,2025-04-16 13:13:47,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744820027,2025-04-16 13:13:47,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744820027,2025-04-16 13:13:47,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744820027,2025-04-16 13:13:47,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744820027,2025-04-16 13:13:47,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1744820027,2025-04-16 13:13:47,7,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744820027,2025-04-16 13:13:47,8,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744820027,2025-04-16 13:13:47,9,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744820027,2025-04-16 13:13:47,10,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744820564,2025-04-16 13:22:44,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744820564,2025-04-16 13:22:44,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744820564,2025-04-16 13:22:44,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744820564,2025-04-16 13:22:44,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744820564,2025-04-16 13:22:44,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744820564,2025-04-16 13:22:44,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1744820564,2025-04-16 13:22:44,7,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744820564,2025-04-16 13:22:44,8,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744820564,2025-04-16 13:22:44,9,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744820564,2025-04-16 13:22:44,10,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744821059,2025-04-16 13:30:59,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744821059,2025-04-16 13:30:59,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744821059,2025-04-16 13:30:59,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744821059,2025-04-16 13:30:59,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744821059,2025-04-16 13:30:59,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744821059,2025-04-16 13:30:59,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br
1744821059,2025-04-16 13:30:59,7,170.79.213.233,csp2-csp1-sp2.bkb.rnp.br,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br
1744821059,2025-04-16 13:30:59,8,170.79.213.15,cce1-csp2-tisparkle.bkb.rnp.br,170.79.213.139,cce2-cce1.bkb.rnp.br
1744821059,2025-04-16 13:30:59,9,170.79.213.139,cce2-cce1.bkb.rnp.br,170.79.213.127,No-Hostname
1744821059,2025-04-16 13:30:59,10,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744821585,2025-04-16 13:39:45,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744821585,2025-04-16 13:39:45,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744821585,2025-04-16 13:39:45,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744821585,2025-04-16 13:39:45,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744821585,2025-04-16 13:39:45,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744821585,2025-04-16 13:39:45,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744821585,2025-04-16 13:39:45,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744821585,2025-04-16 13:39:45,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744822508,2025-04-16 13:55:08,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744822508,2025-04-16 13:55:08,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744822508,2025-04-16 13:55:08,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744822508,2025-04-16 13:55:08,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744822508,2025-04-16 13:55:08,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744822508,2025-04-16 13:55:08,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744822508,2025-04-16 13:55:08,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744822508,2025-04-16 13:55:08,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744822943,2025-04-16 14:02:23,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744822943,2025-04-16 14:02:23,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744822943,2025-04-16 14:02:23,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744822943,2025-04-16 14:02:23,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744822943,2025-04-16 14:02:23,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744822943,2025-04-16 14:02:23,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744822943,2025-04-16 14:02:23,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744822943,2025-04-16 14:02:23,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744823319,2025-04-16 14:08:39,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
1744823319,2025-04-16 14:08:39,2,170.79.214.36,crs1-brs1.bkb.rnp.br,170.79.213.121,crs2-crs1.bkb.rnp.br
1744823319,2025-04-16 14:08:39,3,170.79.213.121,crs2-crs1.bkb.rnp.br,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br
1744823319,2025-04-16 14:08:39,4,170.79.212.252,csc1-crs2-eltsul.bkb.rnp.br,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br
1744823319,2025-04-16 14:08:39,5,170.79.213.239,csc2-csc1-rnp.bkb.rnp.br,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br
1744823319,2025-04-16 14:08:39,6,170.79.213.179,csp1-csc2-brdigital.bkb.rnp.br,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br
1744823319,2025-04-16 14:08:39,7,170.79.212.248,csp1-csp2-100g-amlight.bkb.rnp.br,170.79.213.127,No-Hostname
1744823319,2025-04-16 14:08:39,8,170.79.213.127,No-Hostname,200.129.0.113,monipe-ce-atraso.rnp.br
1744824041,2025-04-16 14:20:41,1,200.132.1.2,gw-core1.colo.tche.br,170.79.214.36,crs1-brs1.bkb.rnp.br
