Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname
1739892039,2025-02-18 12:20:39,4,170.79.214.52,cto1-bto2.bkb.rnp.br,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br
1739892039,2025-02-18 12:20:39,5,170.79.213.90,cdf2-cto1-tlb.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1739892039,2025-02-18 12:20:39,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1739892039,2025-02-18 12:20:39,7,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br
1739892039,2025-02-18 12:20:39,8,170.79.213.201,mxro-cmt1-infobarra.bkb.rnp.br,200.143.252.166,ac-ro-oi.bkb.rnp.br
1739892039,2025-02-18 12:20:39,9,200.143.252.166,ac-ro-oi.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1739892039,2025-02-18 12:20:39,10,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.15,No-Hostname
1739892039,2025-02-18 12:20:39,11,200.139.4.15,No-Hostname,200.139.4.21,No-Hostname
1739892039,2025-02-18 12:20:39,12,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1739892883,2025-02-18 12:34:43,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1739892883,2025-02-18 12:34:43,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.230,No-Hostname
1739892883,2025-02-18 12:34:43,3,200.139.26.230,No-Hostname,170.79.214.52,cto1-bto2.bkb.rnp.br
1739892883,2025-02-18 12:34:43,4,170.79.214.52,cto1-bto2.bkb.rnp.br,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br
1739892883,2025-02-18 12:34:43,5,170.79.212.240,cdf2-cto1-aloha.bkb.rnp.br,170.79.214.126,cdf1-cdf2.bkb.rnp.br
1739892883,2025-02-18 12:34:43,6,170.79.214.126,cdf1-cdf2.bkb.rnp.br,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br
1739892883,2025-02-18 12:34:43,7,170.79.213.185,cmt1-cdf1-telebras.bkb.rnp.br,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br
1739892883,2025-02-18 12:34:43,8,170.79.213.113,mxro-cmt1-infobarra.bkb.rnp.br,170.79.213.242,mxac-mxro-3g-allo.bkb.rnp.br
1739892883,2025-02-18 12:34:43,9,170.79.213.242,mxac-mxro-3g-allo.bkb.rnp.br,170.79.214.219,bac1-mxac.bkb.rnp.br
1739892883,2025-02-18 12:34:43,10,170.79.214.219,bac1-mxac.bkb.rnp.br,200.139.4.15,No-Hostname
1739892883,2025-02-18 12:34:43,11,200.139.4.15,No-Hostname,200.139.4.21,No-Hostname
1739892883,2025-02-18 12:34:43,12,200.139.4.21,No-Hostname,200.139.7.150,monipe-ac-atraso.rnp.br
1739894010,2025-02-18 12:53:30,1,200.139.26.1,gw.pop-to.rnp.br,200.139.26.249,swc-2.pop-to.rnp.br
1739894010,2025-02-18 12:53:30,2,200.139.26.249,swc-2.pop-to.rnp.br,200.139.26.230,No-Hostname
